URN,Pupil Premium Incentive,Sparsity Incentive
100000,0,0
100005,0,1
100006,1,1
100007,1,1
100008,1,1
100009,1,1
100010,1,1
100011,1,1
100013,1,1
100014,1,1
100015,1,1
100018,1,1
100019,0,1
100020,1,1
100021,1,1
100022,1,1
100023,1,1
100025,1,1
100026,0,1
100027,0,1
100028,0,1
100029,1,1
100030,0,1
100031,0,1
100032,1,1
100033,1,1
100034,1,1
100035,1,1
100036,1,1
100040,1,1
101861,0,1
103883,1,0
100041,1,1
107185,0,0
110760,1,0
100042,1,1
119883,1,0
121254,1,0
100043,1,1
121256,1,0
121257,1,0
121258,1,0
100045,1,1
124518,1,0
133441,1,1
100046,1,1
137639,0,0
100047,1,1
137905,1,0
137986,0,0
100048,1,1
100049,1,1
100050,1,1
100052,1,1
100053,1,1
100051,1,1
100054,1,1
100055,1,1
100056,1,1
100059,1,1
100060,0,1
100091,1,1
100092,1,1
100094,0,1
100096,1,1
100097,0,1
100098,0,1
100099,0,1
100102,0,1
100103,1,1
100114,1,1
100115,1,1
100120,1,1
100125,1,1
100126,1,1
100127,0,1
100129,1,1
100131,1,1
100134,0,1
100137,0,1
100140,1,1
100141,0,1
100142,0,1
100146,0,1
100149,0,1
100152,1,1
100155,1,1
100158,1,1
100159,1,1
100162,0,1
100163,1,1
100164,1,1
100165,1,1
100166,0,1
100167,0,1
100168,0,1
100169,1,1
100170,1,1
100171,1,1
100173,1,1
100174,1,1
100175,0,1
100176,0,1
100177,1,1
100178,1,1
100179,1,1
100180,0,1
100181,1,1
100182,0,1
100183,1,1
100190,1,1
100193,0,1
100204,1,1
100212,0,1
100213,0,1
100218,1,1
100221,1,1
100223,1,1
100224,1,1
100225,1,1
100229,1,1
100230,1,1
100231,0,1
100232,1,1
100234,1,1
100236,1,1
100235,1,1
100239,1,1
100240,1,1
100241,1,1
100242,1,1
100243,1,1
100244,1,1
100245,1,1
100248,1,1
100250,1,1
100251,1,1
100252,0,1
100253,0,1
100254,1,1
100255,1,1
100256,1,1
100257,1,1
100258,0,1
100259,1,1
100260,1,1
100261,1,1
100263,1,1
100264,0,1
100266,1,1
100267,1,1
100268,1,1
100269,1,1
100270,1,1
100271,1,1
100274,1,1
100275,0,1
100279,1,1
100282,1,1
100284,1,1
100285,1,1
100307,1,1
100311,1,1
100312,1,1
100315,0,1
100316,0,1
100317,0,1
100318,0,1
100321,1,1
100322,1,1
100324,1,1
100326,1,1
100328,1,1
100331,1,1
100334,1,1
100335,1,1
100338,1,1
100340,0,1
100341,1,1
100344,0,1
100345,0,1
100346,0,1
100349,0,1
100350,1,1
100351,1,1
100352,0,1
100353,0,1
100354,0,1
100357,1,1
100382,1,1
100379,1,1
100381,1,1
100384,0,1
100385,0,1
100386,0,1
100388,1,1
100391,1,1
100397,1,1
100402,1,1
100403,1,1
100405,0,1
100406,1,1
100407,1,1
100408,1,1
100411,1,1
100415,1,1
100418,1,1
100422,1,1
100425,1,1
100426,1,1
100428,1,1
100429,0,1
100430,1,1
100431,1,1
100432,1,1
100434,1,1
100437,1,1
100438,1,1
100439,1,1
100440,1,1
100441,1,1
100442,1,1
100443,1,1
100444,1,1
100446,1,1
100447,1,1
100448,1,1
100449,1,1
100450,1,1
100451,1,1
100453,1,1
100455,1,1
100457,1,1
100458,1,1
100459,1,1
100467,1,1
100469,1,1
100472,0,1
100473,0,1
100474,0,1
100477,1,1
100478,1,1
100479,1,1
100480,0,1
100481,0,1
100482,0,1
100483,1,1
100485,1,1
100486,1,1
100487,1,1
100488,1,1
100489,0,1
100490,1,1
100491,0,1
100492,1,1
100493,0,1
100494,1,1
100495,1,1
100497,0,1
100498,1,1
100499,1,1
100500,0,1
100502,1,1
100503,1,1
100504,0,1
100505,1,1
100549,1,1
100554,0,1
100550,0,1
100551,0,1
100552,0,1
100556,1,1
100553,0,1
100560,1,1
100564,1,1
100566,1,1
100567,0,1
100572,1,1
100574,1,1
100576,1,1
100577,0,1
100578,1,1
100582,1,1
100584,1,1
100585,1,1
100586,0,1
100588,1,1
100589,1,1
100590,0,1
100591,1,1
100593,1,1
100595,1,1
100597,1,1
100598,1,1
100601,1,1
100602,0,1
100604,1,1
100609,1,1
100610,1,1
100612,1,1
100613,1,1
100614,1,1
100615,1,1
100616,0,1
100619,1,1
100620,0,1
100621,1,1
100622,1,1
100623,1,1
100624,1,1
100625,1,1
100627,1,1
100628,1,1
100629,1,1
100631,1,1
100632,0,1
100633,0,1
100634,1,1
100636,1,1
100637,1,1
100638,0,1
100642,1,1
100643,1,1
100654,1,1
100659,1,1
100667,0,1
100668,0,1
100671,1,1
100672,1,1
100673,0,1
100674,0,1
100676,0,1
100677,0,1
100678,1,1
100679,0,1
100680,0,1
100681,1,1
100683,1,1
100684,0,1
100685,1,1
100686,1,1
100687,0,1
100688,1,1
100689,0,1
100690,1,1
100691,1,1
100692,1,1
100693,0,1
100695,1,1
100696,1,1
100699,1,1
100700,0,1
100701,1,1
100703,0,1
100704,0,1
100705,0,1
100708,0,1
100709,0,1
100710,0,1
100711,0,1
100712,1,1
100713,0,1
100714,0,1
100715,1,1
100716,0,1
100717,0,1
100718,0,1
100719,0,1
100722,0,1
100723,1,1
100724,0,1
100725,0,1
100726,0,1
100727,1,1
100728,0,1
100729,1,1
100730,1,1
100731,1,1
100733,1,1
100734,1,1
100737,0,1
100739,0,1
100740,1,1
100741,0,1
100745,0,1
100748,1,1
100749,1,1
100760,1,1
100763,1,1
100765,1,1
100766,1,1
100767,0,1
100768,0,1
100769,0,1
100770,0,1
100771,0,1
100774,1,1
100775,1,1
100780,1,1
100783,1,1
100784,1,1
100785,1,1
100790,0,1
100791,1,1
100793,0,1
